"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"no balance",15.0,"problematic running accounts","other",6850.0,"less than 100 DM","unemployed","greater than 35","male:single","none","between 1 and 4 years","car/other",34.0,"at department store or mail order house","rented","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","bad"
">=200 DM",11.0,"paid back previous credits at this bank","other",1393.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",35.0,"no further running credits","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","no","yes","good"
"no running account",15.0,"no previous credits or paid back","other",2511.0,"no savings","unemployed","greater than 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",23.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",48.0,"paid back previous credits at this bank","new car",6143.0,"no savings","greater than 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",58.0,"at department store or mail order house","owner","2 or 3","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",30.0,"no problems with current credits at this bank","items of furniture",1919.0,"less than 100 DM","less than 1 year","less than 20","male:single","none","between 4 and 7 years","ownership of house or land",30.0,"at department store or mail order house","rented","2 or 3","executive/self-employed/higher civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","items of furniture",797.0,"greater than 1000 DM","greater than 7 years","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","car/other",33.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","no","yes","bad"
"no running account",12.0,"no previous credits or paid back","items of furniture",1107.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","no assets",20.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no running account",9.0,"no previous credits or paid back","items of furniture",1366.0,"no savings","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","car/other",22.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"<= 200 DM",18.0,"problematic running accounts","items of furniture",1445.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",49.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",48.0,"no problems with current credits at this bank","repair",6224.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",50.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",24.0,"no previous credits or paid back","new car",11560.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",23.0,"no further running credits","free apartment","2 or 3","executive/self-employed/higher civil servant","3 and more","no","yes","bad"
"no balance",13.0,"no previous credits or paid back","items of furniture",2101.0,"no savings","less than 1 year","between 25 and 35","female:divorced/living apart/married","guarantor","greater than 7 years","car/other",23.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",6.0,"no previous credits or paid back","items of furniture",590.0,"no savings","less than 1 year","between 20 and 25","male:married/widowed","none","between 4 and 7 years","no assets",26.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","no","good"
">=200 DM",12.0,"no previous credits or paid back","used car",1768.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","no assets",24.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","business",1755.0,"no savings","greater than 7 years","less than 20","female:divorced/living apart/married","guarantor","greater than 7 years","no assets",58.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","good"
"no balance",12.0,"no previous credits or paid back","other",1223.0,"no savings","greater than 7 years","greater than 35","male:divorced/living apart","none","less than 1 year","no assets",46.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",24.0,"no problems with current credits at this bank","retraining",6967.0,"less than 100 DM","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",36.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no running account",12.0,"no previous credits or paid back","other",1274.0,"no savings","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","less than 1 year","no assets",37.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no running account",24.0,"no previous credits or paid back","new car",2924.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","guarantor","greater than 7 years","ownership of house or land",63.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"no balance",18.0,"no previous credits or paid back","household appliances",3872.0,"no savings","unemployed","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",67.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",12.0,"no previous credits or paid back","used car",1574.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","no assets",50.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","used car",2473.0,"no savings","unemployed","less than 20","male:single","none","less than 1 year","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","bad"
"no running account",21.0,"problematic running accounts","other",1647.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",40.0,"at other banks","rented","2 or 3","unskilled with permanant residence","0 to 2","no","yes","bad"
">=200 DM",24.0,"paid back previous credits at this bank","used car",5150.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",33.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"no previous credits or paid back","other",12389.0,"greater than 1000 DM","between 1 and 4 years","greater than 35","male:single","none","greater than 7 years","ownership of house or land",37.0,"at other banks","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
">=200 DM",36.0,"no problems with current credits at this bank","items of furniture",4454.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",34.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",24.0,"no previous credits or paid back","other",1246.0,"no savings","less than 1 year","less than 20","male:single","none","between 1 and 4 years","no assets",23.0,"at other banks","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","other",926.0,"no savings","unemployed","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","car/other",38.0,"no further running credits","rented","one","unemployed/unskilled with no permaant residence","3 and more","no","yes","good"
"no running account",24.0,"no previous credits or paid back","other",4817.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","co-applicant","between 4 and 7 years","car/other",31.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no balance",18.0,"paid back previous credits at this bank","items of furniture",1245.0,"no savings","between 1 and 4 years","less than 20","male:married/widowed","none","between 1 and 4 years","savings contract with a building society/Life insurance",33.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",24.0,"no previous credits or paid back","items of furniture",2439.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",35.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",12.0,"paid back previous credits at this bank","new car",1526.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",66.0,"no further running credits","owner","2 or 3","executive/self-employed/higher civil servant","3 and more","no","yes","good"
"no balance",15.0,"no previous credits or paid back","items of furniture",802.0,"no savings","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","savings contract with a building society/Life insurance",37.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
">=200 DM",30.0,"no problems with current credits at this bank","retraining",4272.0,"less than 100 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","car/other",26.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",12.0,"no previous credits or paid back","other",900.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:married/widowed","none","between 1 and 4 years","savings contract with a building society/Life insurance",23.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",12.0,"no previous credits or paid back","other",759.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 1 and 4 years","no assets",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",21.0,"paid back previous credits at this bank","other",12680.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",30.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no balance",12.0,"no previous credits or paid back","items of furniture",2930.0,"no savings","between 4 and 7 years","between 25 and 35","female:divorced/living apart/married","none","less than 1 year","no assets",27.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"no problems with current credits at this bank","retraining",2375.0,"between 100 and 500 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",44.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
">=200 DM",12.0,"no previous credits or paid back","items of furniture",1262.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",12.0,"hesistant payment of previous credits","vacation",1410.0,"no savings","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","no assets",31.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","other",1163.0,"between 100 and 500 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","no assets",44.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"no previous credits or paid back","other",14318.0,"no savings","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","ownership of house or land",57.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no running account",6.0,"no previous credits or paid back","new car",1352.0,"between 100 and 500 DM","unemployed","greater than 35","female:divorced/living apart/married","none","between 1 and 4 years","car/other",23.0,"no further running credits","free apartment","one","unemployed/unskilled with no permaant residence","3 and more","yes","yes","good"
">=200 DM",36.0,"no previous credits or paid back","other",3079.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","no assets",36.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",36.0,"no previous credits or paid back","used car",3446.0,"no savings","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",42.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
"no balance",30.0,"no problems with current credits at this bank","retraining",2503.0,"less than 100 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",41.0,"at department store or mail order house","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",36.0,"paid back previous credits at this bank","new car",10477.0,"greater than 1000 DM","greater than 7 years","between 25 and 35","male:single","none","greater than 7 years","ownership of house or land",42.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",24.0,"no previous credits or paid back","new car",2679.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","ownership of house or land",29.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",6.0,"no previous credits or paid back","radio/television",1338.0,"between 100 and 500 DM","between 1 and 4 years","greater than 35","male:divorced/living apart","none","greater than 7 years","no assets",62.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"paid back previous credits at this bank","items of furniture",1231.0,"between 500 and 1000 DM","greater than 7 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",57.0,"no further running credits","free apartment","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",15.0,"no previous credits or paid back","radio/television",874.0,"greater than 1000 DM","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",24.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",20.0,"no previous credits or paid back","used car",2212.0,"greater than 1000 DM","between 4 and 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",39.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",18.0,"no previous credits or paid back","items of furniture",3213.0,"between 100 and 500 DM","less than 1 year","greater than 35","male:married/widowed","none","between 4 and 7 years","no assets",25.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",42.0,"paid back previous credits at this bank","retraining",5954.0,"no savings","between 4 and 7 years","between 25 and 35","female:divorced/living apart/married","none","less than 1 year","no assets",41.0,"at other banks","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",6.0,"paid back previous credits at this bank","other",3676.0,"no savings","between 1 and 4 years","greater than 35","male:single","none","between 4 and 7 years","no assets",37.0,"no further running credits","free apartment","4 or 5","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no balance",12.0,"no previous credits or paid back","household appliances",639.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",18.0,"paid back previous credits at this bank","other",1028.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 4 and 7 years","no assets",36.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","used car",2039.0,"no savings","between 1 and 4 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","no assets",20.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no balance",12.0,"no previous credits or paid back","other",1318.0,"between 500 and 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",54.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
">=200 DM",27.0,"no problems with current credits at this bank","new car",8613.0,"between 500 and 1000 DM","between 1 and 4 years","between 25 and 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",12.0,"no previous credits or paid back","used car",1858.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",22.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",28.0,"paid back previous credits at this bank","items of furniture",2743.0,"no savings","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",29.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","items of furniture",522.0,"between 100 and 500 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",42.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
">=200 DM",7.0,"paid back previous credits at this bank","items of furniture",730.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",46.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","yes","yes","good"
">=200 DM",10.0,"no previous credits or paid back","other",1287.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","co-applicant","between 1 and 4 years","car/other",45.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","no","good"
"<= 200 DM",15.0,"no previous credits or paid back","items of furniture",2327.0,"no savings","less than 1 year","between 25 and 35","female:divorced/living apart/married","none","between 4 and 7 years","no assets",25.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no running account",12.0,"no previous credits or paid back","used car",7865.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",53.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no balance",24.0,"no previous credits or paid back","items of furniture",3092.0,"less than 100 DM","less than 1 year","between 20 and 25","male:married/widowed","none","between 1 and 4 years","savings contract with a building society/Life insurance",22.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",12.0,"no previous credits or paid back","items of furniture",709.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",57.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",18.0,"paid back previous credits at this bank","used car",1295.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","car/other",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",12.0,"paid back previous credits at this bank","radio/television",1424.0,"no savings","between 4 and 7 years","less than 20","male:single","none","between 4 and 7 years","car/other",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",18.0,"no previous credits or paid back","used car",2515.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","greater than 7 years","no assets",43.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",45.0,"paid back previous credits at this bank","items of furniture",4746.0,"no savings","less than 1 year","less than 20","male:single","none","between 1 and 4 years","car/other",24.0,"at other banks","rented","2 or 3","unskilled with permanant residence","3 and more","no","yes","bad"
"no balance",6.0,"no previous credits or paid back","items of furniture",1068.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
">=200 DM",48.0,"no previous credits or paid back","retraining",4844.0,"no savings","unemployed","between 20 and 25","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",33.0,"no further running credits","free apartment","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
">=200 DM",12.0,"no previous credits or paid back","new car",4675.0,"greater than 1000 DM","less than 1 year","greater than 35","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",20.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",12.0,"paid back previous credits at this bank","repair",3565.0,"greater than 1000 DM","less than 1 year","between 25 and 35","male:single","none","less than 1 year","car/other",37.0,"no further running credits","rented","2 or 3","unskilled with permanant residence","0 to 2","no","yes","good"
"no balance",18.0,"no previous credits or paid back","new car",12976.0,"no savings","unemployed","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",38.0,"no further running credits","owner","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no balance",15.0,"paid back previous credits at this bank","retraining",2326.0,"between 100 and 500 DM","between 1 and 4 years","between 25 and 35","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",27.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",36.0,"no problems with current credits at this bank","other",8086.0,"less than 100 DM","greater than 7 years","between 25 and 35","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",42.0,"at department store or mail order house","rented","6 or more","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no running account",12.0,"paid back previous credits at this bank","other",691.0,"no savings","greater than 7 years","less than 20","male:single","none","between 4 and 7 years","car/other",35.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"<= 200 DM",10.0,"no previous credits or paid back","other",1240.0,"less than 100 DM","greater than 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",48.0,"no further running credits","owner","one","unskilled with permanant residence","0 to 2","no","yes","bad"
"no running account",12.0,"no previous credits or paid back","items of furniture",727.0,"less than 100 DM","less than 1 year","less than 20","male:married/widowed","none","between 4 and 7 years","ownership of house or land",33.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","yes","yes","bad"
">=200 DM",12.0,"no previous credits or paid back","other",3527.0,"greater than 1000 DM","less than 1 year","between 25 and 35","male:single","none","between 4 and 7 years","car/other",45.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no running account",24.0,"no previous credits or paid back","used car",3234.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",23.0,"no further running credits","free apartment","one","unskilled with permanant residence","3 and more","yes","yes","bad"
">=200 DM",36.0,"no previous credits or paid back","retraining",7409.0,"greater than 1000 DM","greater than 7 years","between 20 and 25","male:single","none","between 1 and 4 years","car/other",37.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",10.0,"no previous credits or paid back","new car",2848.0,"less than 100 DM","between 1 and 4 years","greater than 35","male:single","co-applicant","between 1 and 4 years","no assets",32.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no running account",24.0,"no previous credits or paid back","items of furniture",1823.0,"no savings","unemployed","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"at department store or mail order house","rented","one","executive/self-employed/higher civil servant","0 to 2","no","yes","bad"
"no running account",18.0,"no previous credits or paid back","used car",2659.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",28.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",24.0,"problematic running accounts","items of furniture",1546.0,"no savings","between 4 and 7 years","less than 20","male:single","guarantor","greater than 7 years","savings contract with a building society/Life insurance",24.0,"at other banks","free apartment","one","unskilled with permanant residence","3 and more","no","yes","bad"
">=200 DM",18.0,"paid back previous credits at this bank","items of furniture",1149.0,"between 500 and 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 4 and 7 years","no assets",46.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"no previous credits or paid back","items of furniture",1936.0,"greater than 1000 DM","between 4 and 7 years","between 25 and 35","male:married/widowed","none","greater than 7 years","savings contract with a building society/Life insurance",23.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no running account",24.0,"paid back previous credits at this bank","new car",2957.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",63.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",15.0,"no previous credits or paid back","retraining",806.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","car/other",22.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",11.0,"no problems with current credits at this bank","items of furniture",4771.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","greater than 7 years","car/other",51.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","items of furniture",2171.0,"no savings","less than 1 year","between 25 and 35","female:divorced/living apart/married","none","between 1 and 4 years","savings contract with a building society/Life insurance",29.0,"at other banks","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",18.0,"paid back previous credits at this bank","used car",2124.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","greater than 7 years","no assets",24.0,"no further running credits","free apartment","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"no running account",6.0,"no previous credits or paid back","other",662.0,"no savings","less than 1 year","between 20 and 25","male:single","none","greater than 7 years","no assets",41.0,"no further running credits","rented","one","unskilled with permanant residence","0 to 2","yes","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","items of furniture",1098.0,"no savings","unemployed","less than 20","female:divorced/living apart/married","none","greater than 7 years","savings contract with a building society/Life insurance",65.0,"no further running credits","rented","2 or 3","unemployed/unskilled with no permaant residence","3 and more","no","yes","good"
"no running account",12.0,"paid back previous credits at this bank","other",2121.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","car/other",30.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","new car",2445.0,"greater than 1000 DM","less than 1 year","between 25 and 35","male:married/widowed","none","greater than 7 years","savings contract with a building society/Life insurance",26.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no balance",36.0,"no previous credits or paid back","repair",12612.0,"less than 100 DM","between 1 and 4 years","greater than 35","male:single","none","greater than 7 years","ownership of house or land",47.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","bad"
">=200 DM",36.0,"paid back previous credits at this bank","retraining",6304.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","greater than 7 years","no assets",36.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",36.0,"hesistant payment of previous credits","items of furniture",3804.0,"no savings","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",42.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
"no running account",36.0,"no previous credits or paid back","used car",3620.0,"no savings","between 1 and 4 years","greater than 35","male:single","guarantor","between 1 and 4 years","car/other",37.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
"no balance",60.0,"problematic running accounts","business",14782.0,"less than 100 DM","greater than 7 years","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","ownership of house or land",60.0,"at other banks","owner","2 or 3","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no balance",18.0,"no problems with current credits at this bank","retraining",2427.0,"greater than 1000 DM","greater than 7 years","less than 20","male:single","none","between 1 and 4 years","car/other",42.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",6.0,"no previous credits or paid back","radio/television",343.0,"no savings","less than 1 year","less than 20","female:divorced/living apart/married","none","less than 1 year","no assets",27.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
